LATITUDE,LONGITUDE,DATE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp
34.7273,-92.2389,1/12/15 1:53,,,,,
34.7273,-92.2389,1/12/15 2:53,,,,,
34.7273,-92.2389,1/12/15 3:53,,,,,
34.7273,-92.2389,1/12/15 4:53,,,,,
34.7273,-92.2389,1/12/15 4:56,,,,,
34.7273,-92.2389,1/12/15 5:53,,,,,
34.7273,-92.2389,1/12/15 6:38,,,,,
34.7273,-92.2389,1/12/15 6:53,,,,,
34.7273,-92.2389,1/12/15 7:12,,,,,
34.7273,-92.2389,1/12/15 7:53,,,,,
34.7273,-92.2389,1/12/15 8:13,,,,,
34.7273,-92.2389,1/12/15 8:53,,,,,
34.7273,-92.2389,1/12/15 9:37,,,,,
34.7273,-92.2389,1/12/15 9:53,,,,,
34.7273,-92.2389,1/12/15 10:53,,,,,
34.7273,-92.2389,1/12/15 11:53,,,,,
34.7273,-92.2389,1/12/15 12:53,,,,,
34.7273,-92.2389,1/12/15 13:53,,,,,
34.7273,-92.2389,1/12/15 14:32,,,,,
34.7273,-92.2389,1/12/15 14:53,,,,,
34.7273,-92.2389,1/12/15 15:53,,,,,
34.7273,-92.2389,1/12/15 16:53,,,,,
34.7273,-92.2389,1/12/15 17:07,,,,,
34.7273,-92.2389,1/12/15 17:53,,,,,
34.7273,-92.2389,1/12/15 18:53,,,,,
34.7273,-92.2389,1/12/15 19:53,,,,,
34.7273,-92.2389,1/12/15 20:53,,,,,
34.7273,-92.2389,1/12/15 21:53,,,,,
34.7273,-92.2389,1/12/15 22:18,,,,,
34.7273,-92.2389,1/12/15 22:53,,,,,
34.7273,-92.2389,1/12/15 23:53,43,35,,,
34.7273,-92.2389,1/12/15 23:59,43,35,,,
34.7273,-92.2389,1/13/15 0:53,,,,,
34.7273,-92.2389,1/13/15 1:47,,,,,
34.7273,-92.2389,1/13/15 1:53,,,,,
34.7273,-92.2389,1/13/15 2:53,,,,,
34.7273,-92.2389,1/13/15 3:53,,,,,
34.7273,-92.2389,1/13/15 4:53,,,,,
34.7273,-92.2389,1/13/15 5:53,,,,,
34.7273,-92.2389,1/13/15 6:53,,,,,
34.7273,-92.2389,1/13/15 7:53,,,,,
34.7273,-92.2389,1/13/15 8:53,,,,,
34.7273,-92.2389,1/13/15 9:53,,,,,
34.7273,-92.2389,1/13/15 10:53,,,,,
34.7273,-92.2389,1/13/15 11:53,,,,,
34.7273,-92.2389,1/13/15 12:38,,,,,
34.7273,-92.2389,1/13/15 12:53,,,,,
34.7273,-92.2389,1/13/15 13:53,,,,,
34.7273,-92.2389,1/13/15 14:53,,,,,
34.7273,-92.2389,1/13/15 15:53,,,,,
34.7273,-92.2389,1/13/15 16:53,,,,,
34.7273,-92.2389,1/13/15 17:53,,,,,
34.7273,-92.2389,1/13/15 18:53,,,,,
34.7273,-92.2389,1/13/15 19:53,,,,,
34.7273,-92.2389,1/13/15 20:53,,,,,
34.7273,-92.2389,1/13/15 21:53,,,,,
34.7273,-92.2389,1/13/15 22:53,,,,,
34.7273,-92.2389,1/13/15 23:53,38,23,,,
34.7273,-92.2389,1/13/15 23:59,38,23,,,
34.7273,-92.2389,1/14/15 0:53,,,,,
34.7273,-92.2389,1/14/15 1:53,,,,,
34.7273,-92.2389,1/14/15 2:53,,,,,
34.7273,-92.2389,1/14/15 3:53,,,,,
34.7273,-92.2389,1/14/15 4:53,,,,,
34.7273,-92.2389,1/14/15 5:53,,,,,
34.7273,-92.2389,1/14/15 6:53,,,,,
34.7273,-92.2389,1/14/15 7:53,,,,,
34.7273,-92.2389,1/14/15 8:53,,,,,
34.7273,-92.2389,1/14/15 9:53,,,,,
34.7273,-92.2389,1/14/15 10:53,,,,,
34.7273,-92.2389,1/14/15 11:53,,,,,
34.7273,-92.2389,1/14/15 12:53,,,,,
34.7273,-92.2389,1/14/15 13:53,,,,,
34.7273,-92.2389,1/14/15 14:53,,,,,
34.7273,-92.2389,1/14/15 15:53,,,,,
34.7273,-92.2389,1/14/15 16:53,,,,,
34.7273,-92.2389,1/14/15 17:53,,,,,
34.7273,-92.2389,1/14/15 18:53,,,,,
34.7273,-92.2389,1/14/15 19:53,,,,,
34.7273,-92.2389,1/14/15 20:53,,,,,
34.7273,-92.2389,1/14/15 21:53,,,,,
34.7273,-92.2389,1/14/15 22:53,,,,,
34.7273,-92.2389,1/14/15 23:53,40,21,,,
34.7273,-92.2389,1/14/15 23:59,40,21,,,
34.7273,-92.2389,1/15/15 0:53,,,,,
34.7273,-92.2389,1/15/15 1:53,,,,,
34.7273,-92.2389,1/15/15 2:53,,,,,
34.7273,-92.2389,1/15/15 3:53,,,,,
34.7273,-92.2389,1/15/15 4:53,,,,,
34.7273,-92.2389,1/15/15 5:53,,,,,
34.7273,-92.2389,1/15/15 6:53,,,,,
34.7273,-92.2389,1/15/15 7:53,,,,,
34.7273,-92.2389,1/15/15 8:53,,,,,
34.7273,-92.2389,1/15/15 9:53,,,,,
34.7273,-92.2389,1/15/15 10:53,,,,,
34.7273,-92.2389,1/15/15 11:53,,,,,
34.7273,-92.2389,1/15/15 12:53,,,,,
