"","date","dailyMax","dailyMin"
"13474","2016-3-21",63,32
"13475","2016-3-21",63,32
"13500","2016-3-22",73,41
"13526","2016-3-23",71,60
"13527","2016-3-23",71,60
"13556","2016-3-24",68,42
"13557","2016-3-24",68,42
"13581","2016-3-25",57,37
"13582","2016-3-25",57,37
"13606","2016-3-26",72,38
"13607","2016-3-26",72,38
"13631","2016-3-27",77,47
"13632","2016-3-27",77,47
"13656","2016-3-28",66,40
"13657","2016-3-28",66,40
"13681","2016-3-29",71,42
"13682","2016-3-29",71,42
"13751","2016-3-30",70,59
"13752","2016-3-30",70,59
"13788","2016-3-31",85,58
"13789","2016-3-31",85,58
"13813","2016-4-1",61,47
"13814","2016-4-1",61,47
"13838","2016-4-2",69,43
"13839","2016-4-2",69,43
"13863","2016-4-3",77,44
"13864","2016-4-3",77,44
"13888","2016-4-4",83,50
"13889","2016-4-4",83,50
"13913","2016-4-5",70,53
"13914","2016-4-5",70,53
"13938","2016-4-6",74,55
"13939","2016-4-6",74,54
"13963","2016-4-7",81,49
"13964","2016-4-7",81,49
"13988","2016-4-8",72,49
"13989","2016-4-8",72,49
"14013","2016-4-9",67,44
"14014","2016-4-9",67,44
"14038","2016-4-10",82,56
"14039","2016-4-10",82,56
"14084","2016-4-11",70,54
"14085","2016-4-11",70,54
"14109","2016-4-12",65,50
"14110","2016-4-12",65,50
"14134","2016-4-13",64,49
"14135","2016-4-13",64,49
"14159","2016-4-14",68,51
"14160","2016-4-14",68,51
"14197","2016-4-15",66,59
"14198","2016-4-15",66,59
"14231","2016-4-16",68,60
"14232","2016-4-16",68,60
"14256","2016-4-17",78,59
"14257","2016-4-17",78,59
"14281","2016-4-18",76,63
"14282","2016-4-18",76,63
"14319","2016-4-19",64,59
"14320","2016-4-19",64,59
"14366","2016-4-20",72,61
"14367","2016-4-20",72,61
"14403","2016-4-21",79,55
"14404","2016-4-21",79,55
"14428","2016-4-22",80,53
