Incident Number,District,Offense Description,Incident Address,Incident Date
2015-110644,91,Breaking or Entering Vehicle,"10701 GALLAHAD DR
Little Rock, Arkansas
(34.65313, -92.357204)",9/25/15
2015-039033,50,Robbery (Business),"2917 CANTRELL RD
Little Rock, Arkansas
(34.760442, -92.309105)",4/11/15
2014-009924,71,Breaking or Entering Vehicle,"9 CEDAR RIDGE CT
Little Rock, Arkansas
(34.750731, -92.422992)",01/26/2014-01/27/2014
2015-130801,82,Breaking or Entering Vehicle,"7000 FAIRFIELD DR
Little Rock, Arkansas
(34.665338, -92.355979)",11/14/15
2015-027944,52,Theft of property Misd,"1315 W 22ND ST
Little Rock, Arkansas
(34.728061, -92.288983)",3/10/15
2015-004174,61,Breaking or Entering Vehicle,"6224 BOYLE PARK RD
Little Rock, Arkansas
(34.736553, -92.344968)",1/12/15
2015-057351,90,Theft of property Misd,"10816 DAVID O DODD RD
Little Rock, Arkansas
(34.692422, -92.397807)",5/25/15
2015-042580,82,Burglary - Residential,"9608 ITHICA DR
Little Rock, Arkansas
(34.662686, -92.323158)",4/20/15
2015-054346,60,Burglary Commercial,"7214 CANTRELL RD
Little Rock, Arkansas
(34.770039, -92.353844)",02/18/2015-05/14/2015
2014-071057,71,Breaking or Entering Vehicle,"13720 MAPLE LEAF DR
Little Rock, Arkansas
(34.749164, -92.426649)",06/25/2014-06/26/2014
2015-043860,81,Theft of property Misd,"8414 GEYER SPRINGS RD
Little Rock, Arkansas
(34.673276, -92.344103)",4/23/15
2015-110929,80,Burglary - Residential,"6010 LANCASTER RD
Little Rock, Arkansas
(34.694019, -92.333873)",09/23/2015-09/26/2015
2015-031106,63,Theft of property Misd,"9612 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.760492, -92.380799)",3/24/15
2015-116484,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",10/10/15
2015-095907,81,Theft of property Misd,"8610 GEYER SPRINGS RD
Little Rock, Arkansas
(34.671646, -92.344208)",8/17/15
2014-027625,72,Theft of property Felony,"18 VALLEY FORGE DR
Little Rock, Arkansas
(34.781497, -92.427351)",11/28/2013-12/25/2013
2015-091706,64,Theft of property Misd,"2616 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729982, -92.394845)",8/9/15
2015-044675,92,Theft of property Misd,"11 MABELVALE PLAZA LN
Little Rock, Arkansas
(34.66885, -92.380656)",4/25/15
2015-022127,60,Breaking or Entering Vehicle,"349 N RIDGE RD
Little Rock, Arkansas
(34.778076, -92.355948)",2/28/15
2015-030821,60,Theft of scrap metal,"61 BERKSHIRE DR
Little Rock, Arkansas
(34.731031, -92.343217)",3/6/15
2014-100676,42,Burglary - Residential,"6400 DOVE LN
Little Rock, Arkansas
(34.717926, -92.197919)",08/31/2014-09/02/2014
2014-044510,41,Theft of property Misd,"421 W 31ST ST
Little Rock, Arkansas
(34.71851, -92.27917)",04/23/2014-04/25/2014
2015-086403,91,Theft of property Misd,"6100 MITCHELL DR
Little Rock, Arkansas
(34.677294, -92.345445)",07/26/2015-07/28/2015
2014-060100,42,Breaking or Entering Vehicle,"3200 BANKHEAD DR
Little Rock, Arkansas
(34.715113, -92.224243)",05/31/2014-06/01/2014
2015-027097,50,Aggravated assault on an family or household member,"4100 W MARKHAM ST
Little Rock, Arkansas
(34.751488, -92.318743)",3/14/15
2015-096459,64,Breaking or Entering Vehicle,"11401 MESA DR
Little Rock, Arkansas
(34.756846, -92.401087)",8/24/15
2015-091780,54,Theft of property lost mislaid or delivered by mistake Felony,"4820 W 31ST ST
Little Rock, Arkansas
(34.723761, -92.328801)",8/12/15
2015-144655,64,Breaking or Entering Vehicle,"3400 S BOWMAN RD
Little Rock, Arkansas
(34.726088, -92.408932)",12/20/15
2015-067861,40,Breaking or Entering Vehicle,"301 E 6TH ST
Little Rock, Arkansas
(34.742752, -92.268287)",6/19/15
2014-046178,61,Theft of property Felony,"415 SUNNYMEADE DR
Little Rock, Arkansas
(34.750384, -92.366093)",04/28/2014-04/29/2014
2015-139261,64,Theft of property Misd,"9101 W MARKHAM ST
Little Rock, Arkansas
(34.753315, -92.374491)",12/7/15
2015-052053,60,Burglary Commercial,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752342, -92.343181)",5/13/15
2015-045078,53,Breaking or Entering Vehicle,"3509 ASHER AV
Little Rock, Arkansas
(34.728002, -92.312903)",4/26/15
2015-147589,50,Theft of property Felony,"1320 REBSAMEN PARK RD
Little Rock, Arkansas
(34.762829, -92.3101)",12/23/15
2015-109708,61,Aggravated assault,"6701 W 12TH ST
Little Rock, Arkansas
(34.741721, -92.350929)",9/23/15
2014-085165,72,Theft of property Felony,"1501 RAHLING RD
Little Rock, Arkansas
(34.771185, -92.452331)",07/27/2014-07/28/2014
2015-146910,60,Theft of property Felony,"7320 CANTRELL RD
Little Rock, Arkansas
(34.770886, -92.355311)",12/26/15
2015-106539,60,Theft of property Felony,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752342, -92.343181)",08/26/2015-09/14/2015
2015-010650,43,Theft of property Misd,"1100 E ROOSEVELT RD
Little Rock, Arkansas
(34.72372, -92.260825)",1/28/15
2015-138135,90,Theft of property Misd,"13420 DAVID O DODD RD
Little Rock, Arkansas
(34.706041, -92.413096)",12/4/15
2015-067702,72,Theft of property Misd,"1 CHENAL HEIGHTS DR
Little Rock, Arkansas
(34.77653, -92.453049)",06/16/2015-06/18/2015
2015-044866,82,Robbery (Individual),"11 BARWOOD
Little Rock, Arkansas
(34.663173, -92.328885)",4/26/15
2015-094636,70,Burglary - Residential,"22 PLEASANT CV
Little Rock, Arkansas
(34.766277, -92.394115)",8/19/15
2015-072372,54,Theft of property Felony,"5400 W 12TH ST
Little Rock, Arkansas
(34.741109, -92.333596)",06/22/2015-06/29/2015
2015-080475,92,Theft of property Felony,"9325 TEDBURN
Little Rock, Arkansas
(34.666192, -92.374205)",7/17/15
2014-015716,60,Breaking or Entering Vehicle,"39 SHANNON DR
Little Rock, Arkansas
(34.767625, -92.348837)",02/11/2014-02/12/2014
2015-085334,91,Burglary - Residential,"7707 MOORE DR
Little Rock, Arkansas
(34.663785, -92.364036)",7/28/15
2015-086788,52,Theft of property Felony,"2005 S GAINES ST
Little Rock, Arkansas
(34.729475, -92.281041)",7/31/15
2015-061371,70,Breaking or Entering Vehicle,"5500 HIGHLAND DR
Little Rock, Arkansas
(34.803781, -92.42638)",06/03/2015-06/04/2015
2015-076019,72,Battery 2nd degree,"800 KIRK RD
Little Rock, Arkansas
(34.761117, -92.450433)",7/6/15
2015-141637,71,Breaking or Entering Vehicle,"11830 SAINT CHARLES
Little Rock, Arkansas
(34.764909, -92.408649)",12/12/2015-12/13/2015
2014-149394,50,Breaking or Entering Vehicle,"102 BURNSIDE DR
Little Rock, Arkansas
(34.753762, -92.377929)",12/26/2014-12/28/2014
2015-047029,64,Robbery (Individual),"10434 W 36TH ST
Little Rock, Arkansas
(34.721208, -92.391908)",5/1/15
2015-070868,41,Breaking or Entering Vehicle,"500 E 21ST ST
Little Rock, Arkansas
(34.728541, -92.268667)",06/25/2015-06/26/2015
2014-013995,90,Theft of property Misd,"25 PAR DR
Little Rock, Arkansas
(34.67266, -92.43083)",02/06/2014-02/07/2014
2015-011368,81,Theft of property Misd,"7500 S UNIVERSITY AV
Little Rock, Arkansas
(34.681938, -92.353243)",1/30/15
2015-110377,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",9/25/15
2015-112179,81,Theft of property Misd,"31 ALTHEA
Little Rock, Arkansas
(34.67437, -92.356264)",9/29/15
2015-114713,52,Domestic Battering 2nd degree,"2113 W 23RD ST
Little Rock, Arkansas
(34.727378, -92.297108)",10/3/15
2015-086442,63,Theft of property Felony,"5620 S UNIVERSITY
Little Rock, Arkansas
(34.69911, -92.345662)",6/10/15
2014-082552,61,Breaking or Entering Vehicle,"8701 W MARKHAM ST
Little Rock, Arkansas
(34.753228, -92.371032)",07/21/2014-07/22/2014
2015-103501,61,Theft of property Misd,"8415 W MARKHAM ST
Little Rock, Arkansas
(34.753158, -92.36817)",9/9/15
2014-037611,61,Breaking or Entering Vehicle,"7820 W CAPITOL AV
Little Rock, Arkansas
(34.749494, -92.364629)",04/08/2014-04/09/2014
2015-016778,42,Burglary Commercial,"1600 E 3RD ST
Little Rock, Arkansas
(34.745069, -92.252546)",01/28/2015-02/11/2015
2015-001020,82,Breaking or Entering Vehicle,"9300 RECK RD
Little Rock, Arkansas
(34.664669, -92.328086)",1/3/15
2015-093028,91,Robbery (Business),"11 MABELVALE PLAZA LN
Little Rock, Arkansas
(34.66885, -92.380656)",8/15/15
2015-131634,81,Theft of property Felony,"6300 HINKSON RD
Little Rock, Arkansas
(34.672945, -92.347618)",10/30/15
2015-113132,81,Theft of property Misd,"7414 DOYLE SPRINGS RD
Little Rock, Arkansas
(34.681371, -92.328019)",10/01/2015-10/02/2015
2015-093380,71,Breaking or Entering Vehicle,"1912 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.769154, -92.403696)",08/15/2015-08/16/2015
2015-019393,60,Burglary - Residential,"105 N PLAZA DR
Little Rock, Arkansas
(34.753173, -92.34724)",02/12/2015-02/19/2015
2015-055877,62,Burglary aggravated residential,"3722 LONGCOY ST
Little Rock, Arkansas
(34.719473, -92.371947)",5/22/15
2015-115236,71,Burglary - Residential,"806 PARKWAY PLACE DR
Little Rock, Arkansas
(34.74772, -92.424723)",10/7/15
2015-075437,52,Arson,"2418 S CROSS ST
Little Rock, Arkansas
(34.725101, -92.287285)",7/6/15
2014-001474,63,Theft of property Misd,"2203 GRISTMILL RD
Little Rock, Arkansas
(34.772817, -92.381921)",01/03/2014-01/04/2014
2014-036184,64,Breaking or Entering Vehicle,"14203 RIDGEWOOD DR
Little Rock, Arkansas
(34.729912, -92.404478)",04/04/2014-04/05/2014
2015-126542,90,Theft of property Misd,"13420 DAVID O DODD RD
Little Rock, Arkansas
(34.706041, -92.413096)",10/30/15
2015-023128,60,Theft of property Felony,"7323 AMHERST DR
Little Rock, Arkansas
(34.75398, -92.356552)",03/02/2015-03/03/2015
2015-133149,62,Theft of property Misd,"6420 COLONEL GLENN RD
Little Rock, Arkansas
(34.717837, -92.346894)",11/20/15
2015-025089,90,Theft of property Felony,"32 GREENWAY DR
Little Rock, Arkansas
(34.697016, -92.351017)",3/9/15
2015-015412,91,Theft of property Misd,"8020 BASELINE RD
Little Rock, Arkansas
(34.669868, -92.367764)",2/9/15
2015-111227,82,Aggravated assault on an family or household member,"7411 KNOLLWOOD RD
Little Rock, Arkansas
(34.66469, -92.360918)",9/27/15
2015-039356,92,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",4/12/15
2014-141959,50,Burglary Commercial,"5110 KAVANAUGH
Little Rock, Arkansas
(34.770012, -92.330615)",12/09/2014-12/10/2014
2015-005890,64,Theft of property Misd,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",1/16/15
2014-111201,52,Burglary Commercial,"1719 WRIGHT AV
Little Rock, Arkansas
(34.73219, -92.292746)",09/25/2014-09/26/2014
2015-083364,61,Aggravated Robbery (Individual),"801 S RODNEY PARHAM RD
Little Rock, Arkansas
(34.747571, -92.362848)",7/23/15
2015-120463,61,Aggravated Robbery (Business),"8407 W MARKHAM ST
Little Rock, Arkansas
(34.753134, -92.367316)",10/19/15
2015-055253,40,Breaking or Entering Vehicle,"100 E 2ND ST
Little Rock, Arkansas
(34.747118, -92.270505)",5/20/15
2015-072214,70,Breaking or Entering Vehicle,"5500 HIGHLAND DR
Little Rock, Arkansas
(34.803781, -92.42638)",06/28/2015-06/29/2015
2015-134103,52,Aggravated assault,"1100 WRIGHT AV
Little Rock, Arkansas
(34.731896, -92.286164)",11/23/15
2015-028844,91,Theft of property Felony,"7501 MABELVALE CUT OFF RD
Little Rock, Arkansas
(34.655069, -92.362344)",3/18/15
2015-033405,43,Burglary Commercial,"4748 SPRINGER
Little Rock, Arkansas
(34.705465, -92.246609)",3/29/15
2015-106129,40,Theft of property Felony,"306 W 7TH ST
Little Rock, Arkansas
(34.742556, -92.274255)",09/14/2015-09/15/2015
2015-082275,81,Battery 2nd degree,"5909 S UNIVERSITY AV
Little Rock, Arkansas
(34.696394, -92.345946)",7/1/15
2015-055801,61,Theft of property Misd,"7200 W 12TH ST
Little Rock, Arkansas
(34.741879, -92.354759)",5/21/15
2015-059884,42,Theft of property Misd,"1713 E 21ST ST
Little Rock, Arkansas
(34.727314, -92.251422)",5/31/15
2015-122453,81,Theft of property Misd,"8824 GEYER SPRINGS RD
Little Rock, Arkansas
(34.67057, -92.344283)",10/24/15
2015-039735,91,Theft of property Misd,"8824 GEYER SPRINGS RD
Little Rock, Arkansas
(34.67057, -92.344283)",4/13/15
2014-048393,60,Theft of property Misd,"1701 N BRYANT ST
Little Rock, Arkansas
(34.767487, -92.352765)",05/03/2014-05/04/2014
2015-106338,60,Theft of property Misd,"600 S UNIVERSITY AV
Little Rock, Arkansas
(34.746455, -92.341396)",9/15/15
2015-118387,71,Theft of property Misd,"13909 CHENAL
Little Rock, Arkansas
(34.754371, -92.4279)",10/14/15
2015-029042,70,Breaking or Entering Vehicle,"4710 SAM PECK RD
Little Rock, Arkansas
(34.796099, -92.414903)",3/19/15
2015-076557,91,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",7/8/15
2014-068576,71,Breaking or Entering Vehicle,"13111 W MARKHAM ST
Little Rock, Arkansas
(34.753439, -92.423627)",06/19/2014-06/20/2014
2015-036364,82,Theft of property Misd,"5023 BASELINE RD
Little Rock, Arkansas
(34.6687, -92.334423)",4/5/15
2014-001065,63,Breaking or Entering Vehicle,"1720 N MISSISSIPPI ST
Little Rock, Arkansas
(34.76867, -92.358244)",01/01/2014-01/02/2014
2014-093861,60,Burglary - Residential,"615 CHICKADEE DR
Little Rock, Arkansas
(34.746716, -92.346279)",08/14/2014-08/17/2014
2014-004863,71,Breaking or Entering Vehicle,"8 PINTO PT
Little Rock, Arkansas
(34.742596, -92.413517)",01/13/2014-01/14/2014
2015-029995,51,Theft of property Felony,"700 W MARKHAM ST
Little Rock, Arkansas
(34.74909, -92.277695)",3/15/15
2014-002662,62,Breaking or Entering Vehicle,"5009 MANOR AV
Little Rock, Arkansas
(34.7084, -92.370447)",01/07/2014-01/08/2014
2014-015724,60,Breaking or Entering Vehicle,"3 CIRCLE HIGH DR
Little Rock, Arkansas
(34.765112, -92.345669)",02/11/2014-02/12/2014
2014-080525,42,Theft of property Felony,"1 AIRPORT RD
Little Rock, Arkansas
(34.727368, -92.218727)",07/06/2014-07/08/2014
2015-006060,92,Aggravated Robbery (Individual),"10226 MABELVALE
Little Rock, Arkansas
(34.677671, -92.377519)",1/16/15
2015-010985,71,Breaking or Entering Vehicle,"13620 SCARLET OAK DR
Little Rock, Arkansas
(34.74828, -92.425986)",01/28/2015-01/29/2015
2015-041518,92,Theft of property Misd,"8901 BASELINE RD
Little Rock, Arkansas
(34.67013, -92.378348)",4/17/15
2015-006582,40,Breaking or Entering Vehicle,"1300 E 13TH ST
Little Rock, Arkansas
(34.735434, -92.256425)",1/18/15
2015-130330,51,Domestic Battering 2nd degree,"1400 S BATTERY ST
Little Rock, Arkansas
(34.737487, -92.294154)",11/13/15
2015-087616,71,Theft of property Misd,"13909 CHENAL
Little Rock, Arkansas
(34.754371, -92.4279)",8/2/15
2015-046094,52,Breaking or Entering Vehicle,"3026 BISHOP ST
Little Rock, Arkansas
(34.71904, -92.291193)",4/29/15
2015-064619,63,Burglary - Residential,"2000 RESERVOIR RD
Little Rock, Arkansas
(34.77127, -92.375849)",6/11/15
2015-044021,52,Burglary - Residential,"2009 HOWARD ST
Little Rock, Arkansas
(34.730106, -92.298526)",04/23/2015-04/24/2015
2014-064312,60,Theft of property Misd,"818 OUACHITA PL
Little Rock, Arkansas
(34.746709, -92.356528)",06/04/2014-06/10/2014
2014-120183,81,Theft of property Misd,"8510 SCOTT HAMILTON DR
Little Rock, Arkansas
(34.671674, -92.317787)",10/15/2014-10/16/2014
2015-118848,70,Breaking or Entering Vehicle,"11307 ETHAN ALLEN DR
Little Rock, Arkansas
(34.7614, -92.399694)",10/15/15
2015-016077,90,Theft of property Felony,"11715 COLONEL GLENN RD
Little Rock, Arkansas
(34.711864, -92.406461)",01/15/2015-02/10/2015
2014-138410,61,Theft of property Misd,"26 BROADMOOR DR
Little Rock, Arkansas
(34.728778, -92.344603)",11/04/2014-11/07/2014
2015-114129,81,Theft of property Misd,"6000 BASELINE RD
Little Rock, Arkansas
(34.669171, -92.344869)",10/4/15
2014-132054,61,Theft of property Felony,"8500 CUNNINGHAM LAKE RD
Little Rock, Arkansas
(34.751199, -92.369828)",11/09/2014-11/10/2014
2015-120363,80,Theft of property Misd,"5820 ASHER AV
Little Rock, Arkansas
(34.717829, -92.339224)",10/19/15
2015-115796,61,Breaking or Entering Vehicle,"8407 W MARKHAM ST
Little Rock, Arkansas
(34.753134, -92.367316)",10/8/15
2015-015731,42,Theft of property Felony,"1 AIRPORT RD
Little Rock, Arkansas
(34.727368, -92.218727)",01/09/2015-02/10/2015
2015-092587,64,Theft of property Felony,"11801 CHENAL PARKWAY
Little Rock, Arkansas
(34.748944, -92.406134)",8/14/15
2015-053983,82,Breaking or Entering Vehicle,"5917 BASELINE RD
Little Rock, Arkansas
(34.669104, -92.3433)",5/17/15
2015-120681,91,Theft of property Misd,"7814 PRESTON DR
Little Rock, Arkansas
(34.665764, -92.365767)",10/16/15
2015-077494,54,Theft of property Felony,"4201 W 24TH ST
Little Rock, Arkansas
(34.72968, -92.320785)",6/25/15
2014-042754,61,Burglary - Residential,"2112 SCOTTY CT
Little Rock, Arkansas
(34.733594, -92.36541)",04/19/2014-04/21/2014
2015-108377,63,Theft of property Misd,"10524 W MARKHAM ST
Little Rock, Arkansas
(34.753884, -92.390419)",9/20/15
2015-027733,53,Terroristic Act,"3917 W 12TH ST
Little Rock, Arkansas
(34.740479, -92.317341)",3/15/15
2014-072026,54,Theft of property Misd,"2222 S TYLER ST
Little Rock, Arkansas
(34.731088, -92.33379)",06/27/2014-06/28/2014
2015-049245,62,Theft of property Misd,"32 LOBLOLLY DR
Little Rock, Arkansas
(34.707976, -92.373935)",4/20/15
2015-072322,54,Burglary - Residential,"3108 S TYLER ST
Little Rock, Arkansas
(34.72362, -92.334066)",06/28/2015-06/29/2015
2015-115094,64,Breaking or Entering Vehicle,"11401 MESA DR
Little Rock, Arkansas
(34.756846, -92.401087)",10/06/2015-10/07/2015
2015-077363,43,Theft of property Misd,"1224 GEYER ST
Little Rock, Arkansas
(34.735978, -92.256065)",7/9/15
2015-055220,64,Theft of property Misd,"3500 JOHN BARROW RD
Little Rock, Arkansas
(34.721497, -92.372995)",5/20/15
2015-148625,64,Theft of property Misd,"11406 W MARKHAM ST
Little Rock, Arkansas
(34.753949, -92.400454)",12/31/15
2014-032061,61,Breaking or Entering Vehicle,"1807 JOYCE CT
Little Rock, Arkansas
(34.735727, -92.34543)",03/25/2014-03/26/2014
2015-080983,70,Theft of property Felony,"10621 BRAZOS VALLEY LN
Little Rock, Arkansas
(34.773407, -92.39211)",07/01/2015-07/18/2015
2015-132574,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",11/19/15
2015-022753,40,Theft of property Felony,"521 PRESIDENT CLINTON AV
Little Rock, Arkansas
(34.747294, -92.264441)",02/24/2015-02/25/2015
2015-084020,54,Breaking or Entering Vehicle,"1517 S TAYLOR ST
Little Rock, Arkansas
(34.737913, -92.335752)",07/24/2015-07/25/2015
2015-004640,91,Burglary - Residential,"7815 REBECCA DR
Little Rock, Arkansas
(34.659267, -92.366373)",1/13/15
2015-073444,71,Theft of property Misd,"12700 CHENAL
Little Rock, Arkansas
(34.754179, -92.414858)",7/1/15
2015-090096,92,Theft of property lost mislaid or delivered by mistake Felony,"7620 BASELINE RD
Little Rock, Arkansas
(34.669742, -92.36262)",8/7/15
2015-026491,50,Burglary - Residential,"121 FAIRVIEW RD
Little Rock, Arkansas
(34.760549, -92.321241)",3/12/15
2014-031680,61,Theft of property Felony,"1200 BUSINESS PARK DR
Little Rock, Arkansas
(34.741365, -92.370109)",03/24/2014-03/25/2014
2015-053721,64,Breaking or Entering Vehicle,"10 SHACKLEFORD DR
Little Rock, Arkansas
(34.755147, -92.397266)",05/16/2015-05/17/2015
2015-080448,40,Breaking or Entering Vehicle,"426 W MARKHAM ST
Little Rock, Arkansas
(34.748678, -92.274607)",7/17/15
2015-113753,91,Burglary - Residential,"10001 CARRIE LN
Little Rock, Arkansas
(34.660273, -92.36406)",10/3/15
2015-080538,64,Theft of property Misd,"801 S BOWMAN RD
Little Rock, Arkansas
(34.746254, -92.407228)",7/16/15
2015-111811,60,Theft of property Misd,"7400 CANTRELL RD
Little Rock, Arkansas
(34.770996, -92.355836)",9/28/15
2015-035877,71,Theft of property Misd,"12610 CHENAL
Little Rock, Arkansas
(34.753879, -92.414284)",4/4/15
2015-013402,93,Theft of property Misd,"11700 INTERSTATE 30
Little Rock, Arkansas
(34.646162, -92.43029)",01/31/2015-02/04/2015
2015-129865,90,Theft of property Felony,"25 COLONEL GLENN PLAZA DR
Little Rock, Arkansas
(34.707345, -92.40472)",11/12/15
2015-060983,90,Breaking or Entering Vehicle,"7216 SHETLAND DR
Little Rock, Arkansas
(34.684278, -92.357438)",6/3/15
2015-063715,92,Theft of property Misd,"11 MABELVALE PLAZA LN
Little Rock, Arkansas
(34.66885, -92.380656)",6/9/15
2015-121695,81,Burglary - Residential,"6600 LANCASTER RD
Little Rock, Arkansas
(34.689068, -92.334174)",10/22/15
2015-079895,63,Theft of property Misd,"120 BROOKSIDE DR
Little Rock, Arkansas
(34.754191, -92.373698)",7/16/15
2015-016637,70,Terroristic Act,"11601 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.772512, -92.402654)",2/12/15
